Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Squashathon Junior,87.5,100.0,75.0,50.0,71.42857142857143,76.78571428571429,39
TKO Junior 2,37.5,62.5,62.5,75.0,50.0,57.5,40
Dream Catchers,37.5,50.0,57.14285714285714,100.0,40.0,56.92857142857142,34
Happy Squash 5,25.0,75.0,85.71428571428571,20.0,66.66666666666666,54.47619047619048,34
Vitality Squash 3,12.5,12.5,25.0,83.33333333333334,100.0,46.66666666666667,34
Electrify Squash Div 15,50.0,25.0,37.5,50.0,33.33333333333333,39.166666666666664,38
RC,75.0,37.5,57.14285714285714,0.0,0.0,33.92857142857143,31
NEXUS 4,75.0,37.5,0.0,0.0,20.0,26.5,34
