Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club L1A,10,9,1,34,25,5,0,3,0,1
Kowloon Cricket Club L1A,10,7,3,26,20,10,0,2,1,3
Kowloon Cricket Club L1B,10,6,4,25,19,11,0,1,0,0
Jessica,10,5,5,20,15,15,1,2,0,0
Hong Kong Cricket Club L1,10,3,7,12,9,21,2,0,0,0
Hong Kong Football Club L1B,10,0,10,-2,2,28,5,0,4,1
