Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
X-Alpha 4,21,21,0,116,95,10,0,12,0,0
Fusion Squash Club 2,21,15,6,94,79,26,4,21,0,0
Vitality Squash 2,21,13,8,73,60,45,2,16,0,0
Happy Squash 3,21,10,11,65,55,50,3,19,0,0
i-Mask Advance Squash Club 8,21,11,10,59,48,57,16,20,0,0
Smart Squash 2,21,8,13,52,44,61,14,20,0,0
Friend Club 6,21,2,19,23,21,84,25,1,0,0
i-Mask Advance Squash Club 7,21,4,17,22,18,87,49,4,0,0
