Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
North District Sports Association 2,18,17,1,87,70,20,0,5,0,5
Squashathon 1,18,12,6,72,60,30,0,9,0,0
X-Alpha 5,18,11,7,65,54,36,1,12,0,0
Bravo,18,9,9,60,51,39,3,8,0,0
Humphrey Squash,18,8,10,56,48,42,2,14,0,0
Yuen Long District Sports Association Limited,18,3,15,21,18,70,6,0,0,7
HK Squash Gear,18,3,15,3,12,76,36,0,12,0
