Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club M1B,16,14,2,58,44,20,0,0,0,0
Hong Kong Football Club M1A,16,12,4,55,43,21,0,0,0,0
Ladies Recreation Club M1,16,9,7,43,34,30,0,0,0,0
Hong Kong Cricket Club M1B,16,3,13,22,19,45,0,0,0,0
Hong Kong Cricket Club M1A,16,2,14,22,20,44,0,0,0,0
