Team,Played,Won,Lost,Points
Hong Kong Cricket Club D15,13,13,0,65
Squash Busters,13,10,3,49
Squashathon X,13,8,5,45
Royal Hong Kong Yacht Club Div 15,13,8,5,43
United Services Recreation Club 4,13,5,8,39
Sha Tin 6,13,5,8,34
North District Sports Association 3,13,3,10,28
HKIS Div 15,13,0,13,3
