Team,Played,Won,Lost,Points
Hong Kong Football Club M1A,11,9,2,32
Hong Kong Football Club M1B,10,8,2,30
Hong Kong Cricket Club M1A,10,4,6,20
Hong Kong Cricket Club M1B,11,3,8,14
Squashathon M+,10,2,8,8
