Team,Played,Won,Lost,Points
JESSICA L4,11,10,1,46
JESSICA Mochis,11,8,3,36
Hong Kong Football Club JSA,11,7,4,34
The Squash Club L4,11,6,5,30
Squashathon Ladies,10,5,5,23
Hong Kong Cricket Club L4,12,5,7,22
Kwai Tsing District Squash Club L4,11,3,8,22
Hong Kong Cricket Club Rockettes,12,4,8,18
Hong Kong Football Club L4,11,2,9,18
