Team,Played,Won,Lost,Points
JESSICA L3,12,9,3,40
Hong Kong Football Club L3B,13,8,5,38
Hong Kong Cricket Club L3,13,8,5,37
Hong Kong Football Club L3A,13,3,10,24
Hong Kong Football Club L3C,13,4,9,20
