Team,Played,Won,Lost,Points
Sha Tin 3,14,12,2,64
i-Mask Advance Squash Club 2,13,11,2,57
Squashathon Zero,13,9,4,52
Physical Chess 3,14,8,6,47
TOMCAT,14,4,10,31
Kinetic 2,14,4,10,31
LONGVIEW,14,0,14,5
