Team,Played,Won,Lost,Points
i-Mask Advance Squash Club 5,15,13,2,64
Electrify Squash Div 11,14,11,3,60
Alpha CUHK,15,12,3,58
The Zero Squash Club D11,15,11,4,56
7NT,15,10,5,55
GMDBB,14,10,4,52
Sea Bear,15,4,11,32
South China Athletic Association,14,4,10,32
ZOMA,15,3,12,28
Invader Squash,14,2,12,22
Tuen Mun Squash Club,14,1,13,21
