Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10,11
Sha Tin 5,20,18.956295629562955,1.0437043704370437,91.5970597059706,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Squash Club 3,20,12.329132913291328,7.670867086708671,70.21742174217422,97.56975697569757,0.0,63.80638063806381,27.71277127712771,6.050605060506051,2.15021502150215,0.25002500250025006,0.030003000300030006,0.0,0.0,0.0,0.0
BOSS,20,12.031303130313031,7.968696869686969,68.1009100910091,93.63936393639364,0.0,31.133113311331133,46.464646464646464,16.041604160416043,5.110511051105111,1.11011101110111,0.12001200120012002,0.020002000200020003,0.0,0.0,0.0
Kinetic 3,20,11.867186718671867,8.132813281328133,63.515151515151516,60.186018601860184,0.0,4.12041204120412,18.801880188018803,37.263726372637265,24.222422242224223,9.100910091009101,4.64046404640464,1.84018401840184,0.010001000100010001,0.0,0.0
Tuen Mun Squash Club,20,11.373137313731373,8.626862686268627,61.537953795379536,32.97329732973297,0.0,0.9400940094009401,6.460646064606461,25.57255725572557,31.993199319931993,19.33193319331933,11.441144114411442,4.26042604260426,0.0,0.0,0.0
Star River 1,20,9.916991699169916,10.083008300830084,59.70687068706871,9.810981098109812,0.0,0.0,0.34003400340034,9.470947094709471,20.862086208620862,33.663366336633665,25.762576257625764,9.900990099009901,0.0,0.0,0.0
Global Squash 2,20,8.383038303830382,11.616961696169618,58.3940394039404,3.3203320332033206,0.0,0.0,0.13001300130013002,3.1903190319031904,9.64096409640964,21.822182218221823,30.673067306730672,33.34333433343335,1.18011801180118,0.020002000200020003,0.0
HKCC Tuesday Night Rockers,20,9.061306130613062,10.938693869386938,57.19181918191819,2.5002500250025,0.0,0.0,0.09000900090009001,2.41024102410241,6.020602060206021,14.7014701470147,26.62266226622662,45.63456345634563,4.520452045204521,0.0,0.0
i-Mask Advance Squash Club 4,20,6.5731573157315735,13.426842684268427,48.41154115411541,0.0,0.0,0.0,0.0,0.0,0.0,0.020002000200020003,0.7100710071007101,4.99049904990499,86.36863686368636,7.81078107810781,0.1000100010001
7NT,20,4.465546554655465,15.534453445344536,42.983898389838984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010001000100010001,7.45074507450745,75.27752775277527,17.261726172617262
Invader Squash,20,5.042904290429043,14.957095709570957,38.34333433343335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47004700470047006,16.891689168916894,82.63826382638264
