Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10,11
Sha Tin 5,20,17.9623924784957,2.037607521504301,87.49569913982796,100.0,99.8999799959992,0.10002000400080016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Squash Club 3,20,12.15103020604121,7.848969793958792,69.35567113422684,90.6381276255251,0.020004000800160033,45.989197839567915,32.68653730746149,11.94238847769554,5.261052210442088,2.7205441088217643,1.100220044008802,0.20004000800160032,0.08001600320064013,0.0,0.0
Kinetic 3,20,13.763152630526106,6.236847369473894,68.92718543708742,91.67833566713342,0.08001600320064013,44.44888977795559,35.5871174234847,11.562312462492498,4.860972194438888,2.3004600920184037,1.0202040408081616,0.14002800560112022,0.0,0.0,0.0
HKCC Tuesday Night Rockers,20,10.237047409481896,9.762952590518104,61.90658131626326,33.566713342668535,0.0,3.460692138427685,10.622124424884976,19.483896779355874,20.524104820964194,19.82396479295859,14.622924584916982,7.941588317663532,3.280656131226245,0.24004800960192038,0.0
BOSS,20,10.054610922184438,9.945389077815562,61.077415483096615,27.545509101820365,0.0,2.6405281056211245,7.121424284856971,17.783556711342268,20.46409281856371,19.84396879375875,18.28365673134627,9.141828365673135,4.460892178435687,0.26005201040208037,0.0
Tuen Mun Squash Club,20,10.73634726945389,9.26365273054611,60.86997399479896,27.145429085817163,0.0,2.500500100020004,7.681536307261452,16.96339267853571,21.844368873774755,20.984196839367875,18.44368873774755,8.321664332866572,3.120624124824965,0.14002800560112022,0.0
Global Squash 2,20,9.701940388077615,10.298059611922385,60.75595119023805,24.9249849969994,0.0,0.8001600320064013,5.421084216843369,18.70374074814963,20.184036807361473,20.624124824964994,20.384076815363073,10.502100420084016,3.1006201240248052,0.28005601120224044,0.0
i-Mask Advance Squash Club 4,20,8.582716543308662,11.417283456691338,54.44868973794759,3.2606521304260854,0.0,0.060012002400480095,0.620124024804961,2.5805161032206443,4.6209241848369675,8.061612322464493,13.662732546509302,29.68593718743749,36.0872174434887,4.6009201840368075,0.020004000800160033
Star River 1,20,7.697339467893579,12.30266053210642,53.95739147829566,1.2402480496099217,0.0,0.0,0.26005201040208037,0.9801960392078415,2.2204440888177635,5.541108221644329,12.10242048409682,32.306461292258454,41.628325665133026,4.960992198439688,0.0
7NT,20,5.188037607521505,14.811962392478495,44.98239647929586,0.0,0.0,0.0,0.0,0.0,0.020004000800160033,0.10002000400080016,0.3800760152030406,1.7603520704140827,8.161632326465293,81.37627525505101,8.201640328065613
Invader Squash,20,3.9253850770154033,16.074614922984598,36.22304460892178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08001600320064013,8.141628325665133,91.77835567113422
