Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 4,20,20,0,113,93,7,0,6,0,0
RELAY 1,20,16,4,86,70,30,0,3,0,0
Thunder 2,20,14,6,75,61,39,0,1,0,0
Hong Kong Cricket Club D10,20,13,7,73,60,40,1,2,0,0
Kwai Tsing District Squash Club,20,10,10,64,54,46,0,1,0,0
Banbil,20,11,9,61,50,50,8,0,0,0
United Services Recreation Club 3,20,10,10,61,51,49,0,0,0,0
Squashathon Advance,20,5,15,35,30,70,1,2,0,0
i-Mask Advance Squash Club 4,20,4,16,32,28,72,5,1,0,0
Mercury,20,4,16,31,27,73,3,0,0,0
Bravo D10,20,3,17,28,26,74,1,3,0,0
