Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Star River 1,20,18,2,94,76,24,0,9,0,0
Royal Hong Kong Yacht Club Div 12,20,16,4,90,74,26,0,3,0,3
Physical Chess 4,20,15,5,86,71,29,0,6,0,2
Winter Warriors,20,13,7,72,60,40,1,5,1,0
Sha Tin 5,20,13,7,68,56,44,0,9,0,1
Global Squash 2,20,11,9,64,53,47,0,0,0,0
Hong Kong Football Club 12A,20,8,12,48,40,60,2,7,0,0
Hong Kong Football Club 12B,20,8,12,45,37,63,1,4,0,2
SKCSC Div 12,20,6,14,44,38,62,0,5,0,0
CSD Squash Team,20,1,19,18,24,76,34,0,6,0
Latecomers,20,2,18,16,21,79,15,5,1,0
