Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 4,22,19,3,107,88,22,1,12,0,1
Royal Hong Kong Yacht Club Div 14,22,19,3,103,84,26,0,5,0,0
North District Sports Association 2,22,16,6,95,79,31,0,20,0,0
Physical Chess 5,22,15,7,86,71,39,0,10,0,0
8 Virtues + 1,22,14,8,77,64,46,6,4,1,5
TKO Junior 1,22,10,12,63,53,57,2,7,0,0
Hong Kong Football Club 14,22,10,12,57,47,63,27,1,0,1
RELAY 2,22,8,14,55,48,62,5,14,1,2
TNG 3,22,10,12,45,49,61,3,1,9,0
Squash-On,22,6,16,38,32,78,28,1,0,1
Ladies Recreation Club Div 14,22,4,18,35,32,78,6,4,1,3
Fusion Squash Club 4,22,1,21,13,13,97,7,6,1,0
