Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,22,21,1,115,94,16,0,13,0,0
Hong Kong Football Club 6A,22,16,6,88,72,38,0,11,0,0
Hong Kong Football Club 6B,22,15,7,81,66,44,0,0,0,3
Uncles,22,14,8,81,67,43,0,2,0,0
Kowloon Cricket Club 6A,22,13,9,74,61,49,2,3,0,0
Hong Kong Football Club 6C,22,11,11,63,52,58,0,2,0,0
Global Squash 1,22,7,15,54,47,63,0,2,0,2
Electrify Squash Div 6,22,10,12,52,45,65,10,7,3,0
Ladies Recreation Club Div 6,22,7,15,52,45,65,7,6,0,0
Fusion Squash Club 1,22,8,14,45,40,70,31,0,3,0
Hong Kong Cricket Club D6,22,5,17,44,39,71,2,11,0,0
X-Alpha 3,22,5,17,35,32,78,8,3,2,3
