Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 2,20,18,2,91,73,27,0,7,0,0
Hong Kong Football Club 7B,20,14,6,84,70,30,0,2,0,0
i-Mask Advance Squash Club 1,20,13,7,74,61,39,1,1,0,0
Hong Kong Football Club 7A,20,13,7,70,57,43,0,2,0,0
Hong Kong Cricket Club D7B,20,9,11,58,49,51,0,6,0,0
UST,20,10,10,54,47,53,1,1,3,0
Hong Kong Cricket Club D7A,20,8,12,54,46,54,1,3,0,4
Xavier,20,8,12,52,44,56,15,2,0,0
Thunder 1,20,8,12,50,42,58,0,3,0,0
Social Squash Team,20,7,13,39,32,68,9,1,0,0
Kinetic 1,20,2,18,30,29,71,2,1,1,0
