Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 2,13,12,1,71,59,6,0,1,0,0
Twister,13,10,3,54,44,21,0,0,0,0
Centre Squash,13,9,4,47,38,27,0,2,0,0
Hong Kong Football Club 9,13,8,5,46,38,27,0,0,0,0
i-Mask Advance Squash Club 3,13,8,5,40,32,33,0,0,0,0
The Hong Kong Jockey Club Div 9,13,7,6,38,31,34,1,0,0,0
Kowloon Cricket Club 9,13,5,8,32,27,38,0,0,0,0
HKPF Squash Team,13,2,11,24,22,43,2,1,0,0
Kinetic 3,13,3,10,23,20,45,0,0,0,0
BOSS,13,1,12,15,14,51,1,0,0,0
