Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
SKCSC M4,13,10,3,56,46,19,0,0,0,0
Hong Kong Football Club M4A,13,10,3,53,43,22,0,0,0,0
WAKO,13,10,3,53,43,22,0,1,0,0
Hong Kong Cricket Club M4,13,8,5,44,36,29,0,0,0,0
Kowloon Cricket Club M4,13,7,6,43,36,29,0,0,0,0
Hong Kong Football Club M4B,13,7,6,41,34,31,0,2,0,0
United Services Recreation Club M4,13,4,9,37,33,32,1,0,0,0
Hong Kong Club Blue,13,3,10,23,20,45,0,0,0,0
Bolton,13,3,10,23,20,45,2,0,0,0
Royal Hong Kong Yacht Club M4,13,3,10,17,14,51,0,0,0,0
