Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Royal Hong Kong Yacht Club Div 12,12,9,3,55,46,14,0,0,0,1
Star River 1,12,10,2,53,43,17,0,4,0,0
Physical Chess 4,12,9,3,48,39,21,0,6,0,0
Sha Tin 5,11,8,3,41,33,22,0,6,0,1
Global Squash 2,12,7,5,38,31,29,0,0,0,0
Winter Warriors,11,7,4,38,32,23,0,2,1,0
Hong Kong Football Club 12B,12,6,6,33,27,33,0,4,0,0
Hong Kong Football Club 12A,12,5,7,30,25,35,1,3,0,0
SKCSC Div 12,12,2,10,20,18,42,0,2,0,0
CSD Squash Team,12,1,11,17,17,43,21,0,1,0
Latecomers,12,1,11,15,14,46,10,5,0,0
