Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,avg_win_perc,Total Rubbers
Hong Kong Football Club L1A,100.0,100.0,66.66666666666666,88.88888888888887,17
Kowloon Cricket Club L1B,57.14285714285714,71.42857142857143,66.66666666666666,65.07936507936508,20
Jessica,42.857142857142854,50.0,83.33333333333334,58.730158730158735,19
Kowloon Cricket Club L1A,57.14285714285714,57.14285714285714,50.0,54.76190476190476,20
Hong Kong Cricket Club L1,42.857142857142854,14.285714285714285,0.0,19.047619047619047,20
Hong Kong Football Club L1B,0.0,0.0,25.0,8.333333333333334,14
