Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Jaws Master,Hong Kong Cricket Club M3,Masters - HK Squash Centre (M - HKSC),1,10/10/2019,4-1,"['3-1', '3-2', '1-3', '3-0', '3-2']",4,1,13,8
Discovery Bay,Howards Folly Wine LRC M3,Discovery Bay (DB),1,10/10/2019,1-4,"['0-3', '3-1', '0-3', '0-3', '2-3']",1,4,5,13
Hong Kong Football Club M3B,Hong Kong Football Club M3C,Hong Kong Football Club (HKFC),1,10/10/2019,3-2,"['3-1', '3-1', '0-3', '0-3', '3-0']",3,2,9,8
Hong Kong Football Club M3A,The Hong Kong Jockey Club M3,Hong Kong Football Club (HKFC),1,10/10/2019,1-4,"['0-3', '1-3', '0-3', '3-2', '0-3']",1,4,4,14
Titlows Master,Phoenix,MTR Metro Recreation Club (MTRC),1,10/10/2019,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
United Services Recreation Club M3,American Club - Yacht Club,United Services Recreation Club (USRC),1,10/10/2019,3-2,"['3-0', '1-3', '0-3', '3-1', '3-2']",3,2,10,9
American Club - Yacht Club,Hong Kong Football Club M3B,American Club (AC),2,17/10/2019,4-1,"['3-1', '1-3', '3-0', '3-0', '3-2']",4,1,13,6
United Services Recreation Club M3,Discovery Bay,United Services Recreation Club (USRC),2,17/10/2019,5-0,"['3-1', '3-1', '3-0', '3-0', '3-1']",5,0,15,3
The Hong Kong Jockey Club M3,Jaws Master,HKJC Sha Tin Club House (HKJC),2,17/10/2019,2-3,"['0-3', '3-2', '3-1', '2-3', '1-3']",2,3,9,12
Hong Kong Cricket Club M3,Titlows Master,Hong Kong Cricket Club (HKCC),2,17/10/2019,5-0,"['3-0', '3-0', '3-2', '3-2', '3-0']",5,0,15,4
Hong Kong Football Club M3C,Hong Kong Football Club M3A,Hong Kong Football Club (HKFC),2,17/10/2019,5-0,"['3-0', '3-0', '3-1', '3-1', '3-0']",5,0,15,2
