Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
HEAD SHATIN 5,i-Mask Advance Squash Club 11,Cornwall Street (CSPSC),1,11/10/2019,3-2,"['0-3', '0-3', '3-1', '3-1', '3-1']",3,2,9,9
The Zero Squash Club D17,Smart Squash 3,Cornwall Street (CSPSC),2,18/10/2019,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Kinetic 6,HEAD SHATIN 5,Yeung Uk Road (YURSC),2,18/10/2019,2-3,"['3-0', '3-0', '0-3', '0-3', '0-3']",2,3,6,9
Spaghetti,Hong Kong Cricket Club 17,Cornwall Street (CSPSC),2,18/10/2019,3-2,"['3-0', '3-0', '3-2', '0-3', 'WO']",3,2,12,5
i-Mask Advance Squash Club 11,PLZ,Cornwall Street (CSPSC),2,18/10/2019,5-0,"['3-0', '3-0', '3-0', '3-0', 'WO']",5,0,15,0
The Zero Squash Club D17,i-Mask Advance Squash Club 11,Cornwall Street (CSPSC),3,25/10/2019,3-2,"['0-3', '1-3', '3-1', '3-0', '3-0']",3,2,10,7
PLZ,Kinetic 6,Cornwall Street (CSPSC),3,25/10/2019,2-3,"['0-3', '0-3', '3-1', '1-3', '3-0']",2,3,7,10
HEAD SHATIN 5,Spaghetti,Kwun Chung (KCSC),3,25/10/2019,3-2,"['0-3', '1-3', '3-1', 'CR', 'CR']",3,2,10,7
Hong Kong Cricket Club 17,Smart Squash 3,Hong Kong Cricket Club (HKCC),3,25/10/2019,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0
Kinetic 6,The Zero Squash Club D17,Yeung Uk Road (YURSC),4,01/11/2019,1-4,"['3-0', '2-3', '0-3', '0-3', '0-3']",1,4,5,12
Spaghetti,PLZ,Cornwall Street (CSPSC),4,01/11/2019,3-2,"['3-0', '3-0', '3-0', '0-3', '0-3']",3,2,9,6
Smart Squash 3,i-Mask Advance Squash Club 11,Tai Po Sports Ground (TPSG),4,01/11/2019,3-2,"['0-3', '3-0', '3-0', '2-3', 'CR']",3,2,11,6
Hong Kong Cricket Club 17,HEAD SHATIN 5,Hong Kong Cricket Club (HKCC),4,01/11/2019,1-4,"['3-1', '1-3', '1-3', '1-3', '0-3']",1,4,6,13
i-Mask Advance Squash Club 11,Kinetic 6,Cornwall Street (CSPSC),5,08/11/2019,4-1,"['0-3', '3-0', '3-0', '3-0', '3-0']",4,1,12,3
The Zero Squash Club D17,Spaghetti,Cornwall Street (CSPSC),5,08/11/2019,4-1,"['0-3', '3-1', 'WO', 'WO', 'WO']",4,1,12,4
HEAD SHATIN 5,Smart Squash 3,Cornwall Street (CSPSC),5,08/11/2019,3-2,"['3-2', '2-3', '3-0', '3-0', '2-3']",3,2,13,8
