Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
KYS 1,Mark Six,Harbour Road (HRSC),1,11/10/2019,1-4,"['3-1', '0-3', '0-3', '0-3', '0-3']",1,4,3,13
Squashthon,Friend Club 5,Kwun Chung (KCSC),1,11/10/2019,4-1,"['3-0', '0-3', '3-0', '3-0', '3-0']",4,1,12,3
Mad Hatters,Kwai Tsing District Squash Club 2,Cornwall Street (CSPSC),2,18/10/2019,3-2,"['3-0', '3-0', '3-0', '1-3', '0-3']",3,2,10,6
Mark Six,Friend Club 5,Cornwall Street (CSPSC),2,18/10/2019,4-1,"['3-0', '3-0', '3-0', '3-0', '0-3']",4,1,12,3
KYS 1,Craigengower Cricket Club,Harbour Road (HRSC),2,18/10/2019,5-0,"['3-2', '3-2', '3-1', '3-0', '3-0']",5,0,15,5
Squashthon,Warriors 3,Kwun Chung (KCSC),2,18/10/2019,2-3,"['3-1', '0-3', '0-3', '3-0', '0-3']",2,3,6,10
Friend Club 5,KYS 1,Cornwall Street (CSPSC),3,25/10/2019,1-4,"['0-3', '1-3', '1-3', '1-3', '3-0']",1,4,6,12
Kwai Tsing District Squash Club 2,Squashthon,Cornwall Street (CSPSC),3,25/10/2019,4-1,"['0-3', '3-1', '3-2', '3-1', '3-1']",4,1,12,8
Warriors 3,Mark Six,Pei Ho Street (PHSSC),3,25/10/2019,4-1,"['3-1', '0-3', '3-0', '3-1', '3-0']",4,1,12,5
Craigengower Cricket Club,Mad Hatters,Craigengower Cricket Club (CCC),3,25/10/2019,3-2,"['0-3', '3-0', '3-0', '0-3', '3-0']",3,2,9,6
Mark Six,Kwai Tsing District Squash Club 2,Cornwall Street (CSPSC),4,01/11/2019,2-3,"['3-0', '3-0', '0-3', '0-3', 'CR']",2,3,6,9
Warriors 3,Friend Club 5,Pei Ho Street (PHSSC),4,01/11/2019,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
KYS 1,Mad Hatters,Harbour Road (HRSC),4,01/11/2019,3-2,"['3-0', '1-3', '0-3', 'CR', 'CR']",3,2,10,6
Squashthon,Craigengower Cricket Club,Kwun Chung (KCSC),4,01/11/2019,5-0,"['WO', 'WO', 'WO', 'WO', 'WO']",5,0,15,0
Kwai Tsing District Squash Club 2,Friend Club 5,Kwun Chung (KCSC),5,08/11/2019,5-0,"['3-1', '3-0', '3-0', '3-0', '3-0']",5,0,15,1
Mad Hatters,Squashthon,Cornwall Street (CSPSC),5,08/11/2019,5-0,"['3-1', '3-2', '3-0', '3-0', '3-0']",5,0,15,3
Craigengower Cricket Club,Mark Six,Craigengower Cricket Club (CCC),5,08/11/2019,1-4,"['0-3', '0-3', '1-3', '0-3', '3-0']",1,4,4,12
Kwai Tsing District Squash Club 2,KYS 1,Cornwall Street (CSPSC),6,22/11/2019,5-0,"['3-0', '3-1', '3-0', '3-0', '3-0']",5,0,15,1
Mad Hatters,Friend Club 5,Cornwall Street (CSPSC),6,22/11/2019,4-1,"['3-0', '3-1', '3-0', '3-1', 'CR']",4,1,15,2
Squashthon,Mark Six,Kwun Chung (KCSC),6,22/11/2019,2-3,"['3-1', '0-3', '0-3', '2-3', '3-0']",2,3,8,10
Craigengower Cricket Club,Warriors 3,Craigengower Cricket Club (CCC),6,22/11/2019,0-5,"['0-3', '0-3', '1-3', '0-3', '1-3']",0,5,2,15
Mad Hatters,Warriors 3,Cornwall Street (CSPSC),7,29/11/2019,3-2,"['3-1', '3-0', '0-3', '1-3', '3-1']",3,2,10,8
KYS 1,Mark Six,Harbour Road (HRSC),7,29/11/2019,1-4,"['1-3', '0-3', '0-3', '0-3', '3-0']",1,4,4,12
Squashthon,Friend Club 5,Kwun Chung (KCSC),7,29/11/2019,4-1,"['3-0', '2-3', '3-0', '3-0', '3-0']",4,1,14,3
Kwai Tsing District Squash Club 2,Craigengower Cricket Club,Cornwall Street (CSPSC),7,29/11/2019,5-0,"['WO', 'WO', 'WO', 'WO', 'WO']",5,0,15,0
Warriors 3,Mad Hatters,Pei Ho Street (PHSSC),8,06/12/2019,2-3,"['2-3', '1-3', '3-0', '2-3', 'WO']",2,3,8,12
Craigengower Cricket Club,Kwai Tsing District Squash Club 2,Craigengower Cricket Club (CCC),8,06/12/2019,4-1,"['3-1', '3-0', '3-2', '3-0', '2-3']",4,1,14,6
Kwai Tsing District Squash Club 2,Mad Hatters,Cornwall Street (CSPSC),9,13/12/2019,3-2,"['0-3', '0-3', '3-0', 'CR', 'CR']",3,2,9,6
Friend Club 5,Mark Six,Cornwall Street (CSPSC),9,13/12/2019,1-4,"['0-3', '0-3', '0-3', '0-3', '3-0']",1,4,3,12
Warriors 3,Squashthon,Pei Ho Street (PHSSC),9,13/12/2019,3-2,"['0-3', '3-0', '3-0', '0-3', '3-0']",3,2,9,6
Craigengower Cricket Club,KYS 1,Craigengower Cricket Club (CCC),9,13/12/2019,3-2,"['3-0', '1-3', '0-3', '3-0', '3-1']",3,2,10,7
Warriors 3,KYS 1,Pei Ho Street (PHSSC),10,15/12/2019,4-1,"['1-3', '3-0', '3-0', '3-0', '3-0']",4,1,13,3
KYS 1,Friend Club 5,HK Squash Centre (HKSC),11,03/01/2020,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Mad Hatters,Craigengower Cricket Club,Cornwall Street (CSPSC),11,03/01/2020,5-0,"['WO', 'WO', 'WO', 'WO', 'WO']",5,0,15,0
Mark Six,Warriors 3,Cornwall Street (CSPSC),11,03/01/2020,1-4,"['0-3', '3-0', '0-3', '0-3', '0-3']",1,4,3,12
Squashthon,Kwai Tsing District Squash Club 2,Kwun Chung (KCSC),11,03/01/2020,3-2,"['2-3', '3-0', '0-3', '3-0', '3-2']",3,2,11,8
Friend Club 5,Warriors 3,Cornwall Street (CSPSC),12,10/01/2020,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Kwai Tsing District Squash Club 2,Mark Six,Cornwall Street (CSPSC),12,10/01/2020,1-4,"['1-3', '0-3', '0-3', '0-3', '3-0']",1,4,4,12
Mad Hatters,KYS 1,Cornwall Street (CSPSC),12,10/01/2020,4-1,"['1-3', '3-0', '3-0', '3-0', '3-2']",4,1,13,5
Craigengower Cricket Club,Squashthon,Craigengower Cricket Club (CCC),12,10/01/2020,2-3,"['2-3', '3-0', '3-1', '0-3', '0-3']",2,3,8,10
Friend Club 5,Kwai Tsing District Squash Club 2,Cornwall Street (CSPSC),13,17/01/2020,0-5,"['2-3', '0-3', '0-3', '0-3', '0-3']",0,5,2,15
Mark Six,Craigengower Cricket Club,Cornwall Street (CSPSC),13,17/01/2020,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0
KYS 1,Warriors 3,Harbour Road (HRSC),13,17/01/2020,2-3,"['3-1', '3-0', '0-3', '0-3', '2-3']",2,3,8,10
