Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Smart Squash 4,i-Mask Advance Squash Club 12,Cornwall Street (CSPSC),1,12/10/2019,1-4,"['3-2', '0-3', '1-3', 'CR', 'CR']",1,4,4,14
HEAD SHATIN 6,Hong Kong Football Club 18,Cornwall Street (CSPSC),1,12/10/2019,1-4,"['0-3', '0-3', '3-0', '0-3', '0-3']",1,4,3,12
HDSC,Spark 4,Kwun Chung (KCSC),1,12/10/2019,0-4,"['0-3', '2-3', '0-3', '1-3']",0,4,3,12
Skyers,TNG 3,HK Squash Centre (HKSC),1,12/10/2019,5-0,"['3-0', '3-1', '3-0', '3-0', '3-0']",5,0,15,1
United Services Recreation Club 4,Yuen Long JR 3,United Services Recreation Club (USRC),1,12/10/2019,3-2,"['3-0', '3-1', '3-0', '0-3', '0-3']",3,2,9,7
i-Mask Advance Squash Club 12,Relay 2,Cornwall Street (CSPSC),2,19/10/2019,5-0,"['3-0', '3-0', '3-1', '3-0', 'CR']",5,0,15,1
TNG 3,Smart Squash 4,Cornwall Street (CSPSC),2,19/10/2019,3-2,"['0-3', '2-3', '3-1', '3-2', 'CR']",3,2,11,9
HDSC,United Services Recreation Club 4,Kwun Chung (KCSC),2,19/10/2019,0-5,"['0-3', '2-3', '0-3', '0-3', '0-3']",0,5,2,15
Yuen Long JR 3,HEAD SHATIN 6,Kwun Chung (KCSC),2,19/10/2019,2-3,"['1-3', '0-3', '1-3', '3-0', '3-0']",2,3,8,9
Hong Kong Football Club 18,Skyers,Hong Kong Football Club (HKFC),2,19/10/2019,4-1,"['0-3', '3-0', '3-0', '3-0', '3-0']",4,1,12,3
Yuen Long JR 3,Spark 4,Sir Denys Roberts (SDRSC),3,23/11/2019,0-5,"['0-3', '0-3', '1-3', '0-3', '0-3']",0,5,1,15
TNG 3,HEAD SHATIN 6,Kwun Chung (KCSC),3,23/11/2019,1-4,"['1-3', '0-3', '0-3', '0-3', '3-2']",1,4,4,14
i-Mask Advance Squash Club 12,Skyers,Cornwall Street (CSPSC),3,23/11/2019,1-4,"['1-3', '1-3', '0-3', '0-3', '3-2']",1,4,5,14
Smart Squash 4,Relay 2,Cornwall Street (CSPSC),3,23/11/2019,1-4,"['0-3', '3-0', '2-3', '0-3', 'CR']",1,4,5,12
Hong Kong Football Club 18,United Services Recreation Club 4,Hong Kong Football Club (HKFC),3,23/11/2019,5-0,"['3-0', '3-0', '3-1', '3-1', '3-0']",5,0,15,2
HEAD SHATIN 6,i-Mask Advance Squash Club 12,Cornwall Street (CSPSC),4,30/11/2019,2-3,"['3-2', '1-3', '3-0', '1-3', '1-3']",2,3,9,11
Hong Kong Football Club 18,Spark 4,Hong Kong Football Club (HKFC),4,30/11/2019,4-1,"['3-1', '3-2', '3-0', '3-1', '0-3']",4,1,12,7
Relay 2,Skyers,Sir Denys Roberts (SDRSC),4,30/11/2019,0-5,"['1-3', '1-3', '0-3', '0-3', '0-3']",0,5,2,15
HDSC,Yuen Long JR 3,Kwun Chung (KCSC),4,30/11/2019,0-5,"['0-3', '0-3', '0-3', '0-3', '1-3']",0,5,1,15
United Services Recreation Club 4,TNG 3,United Services Recreation Club (USRC),4,30/11/2019,5-0,"['3-0', '3-0', '3-0', '3-1', '3-1']",5,0,15,2
i-Mask Advance Squash Club 12,United Services Recreation Club 4,Cornwall Street (CSPSC),5,07/12/2019,1-4,"['0-3', '1-3', '3-2', '0-3', '0-3']",1,4,4,14
Spark 4,TNG 3,HK Squash Centre (HKSC),5,07/12/2019,4-1,"['2-3', '3-0', '3-1', '3-0', '3-2']",4,1,14,6
Smart Squash 4,Skyers,Cornwall Street (CSPSC),5,07/12/2019,0-5,"['CR', 'CR', 'CR', 'CR', 'CR']",0,5,0,15
HEAD SHATIN 6,Relay 2,Cornwall Street (CSPSC),5,07/12/2019,5-0,"['3-0', '3-0', 'CR', 'CR', 'CR']",5,0,15,0
Hong Kong Football Club 18,HDSC,Hong Kong Football Club (HKFC),5,07/12/2019,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Yuen Long JR 3,Smart Squash 4,Sir Denys Roberts (SDRSC),6,14/12/2019,5-0,"['3-1', '3-1', '3-0', '3-0', 'CR']",5,0,15,2
TNG 3,i-Mask Advance Squash Club 12,Cornwall Street (CSPSC),6,14/12/2019,0-5,"['2-3', '0-3', '0-3', '0-3', '0-3']",0,5,2,15
Spark 4,HEAD SHATIN 6,HK Squash Centre (HKSC),6,14/12/2019,2-3,"['1-3', '2-3', '2-3', '3-0', '3-0']",2,3,11,9
HDSC,Skyers,Kwun Chung (KCSC),6,14/12/2019,1-4,"['0-3', '3-2', '0-3', '0-3', '0-3']",1,4,3,14
Hong Kong Football Club 18,Relay 2,Hong Kong Football Club (HKFC),6,14/12/2019,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0
Smart Squash 4,Hong Kong Football Club 18,Cornwall Street (CSPSC),7,21/12/2019,0-5,"['CR', 'CR', 'CR', 'CR', 'CR']",0,5,0,15
Yuen Long JR 3,Skyers,Cornwall Street (CSPSC),7,21/12/2019,3-2,"['1-3', '3-0', '1-3', '3-1', '3-2']",3,2,11,9
United Services Recreation Club 4,Spark 4,United Services Recreation Club (USRC),7,21/12/2019,2-3,"['3-0', '0-3', '1-3', '0-3', 'CR']",2,3,4,12
HEAD SHATIN 6,Smart Squash 4,Cornwall Street (CSPSC),8,04/01/2020,5-0,"['3-2', 'CR', 'CR', 'CR', 'CR']",5,0,15,2
Spark 4,i-Mask Advance Squash Club 12,HK Squash Centre (HKSC),8,04/01/2020,3-2,"['0-3', '3-0', '1-3', '3-0', '3-0']",3,2,10,6
HDSC,TNG 3,Kwun Chung (KCSC),8,04/01/2020,3-2,"['0-3', '0-3', '3-0', 'CR', 'CR']",3,2,9,6
Yuen Long JR 3,Hong Kong Football Club 18,Sir Denys Roberts (SDRSC),8,04/01/2020,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0
United Services Recreation Club 4,Relay 2,United Services Recreation Club (USRC),8,04/01/2020,5-0,"['3-0', '3-0', '3-0', '3-0', 'CR']",5,0,15,0
TNG 3,Yuen Long JR 3,Cornwall Street (CSPSC),9,11/01/2020,1-4,"['1-3', '0-3', '3-1', '2-3', '0-3']",1,4,6,13
Smart Squash 4,United Services Recreation Club 4,Cornwall Street (CSPSC),9,11/01/2020,0-5,"['WO', 'WO', 'WO', 'WO', 'WO']",0,5,0,15
HDSC,i-Mask Advance Squash Club 12,Kwun Chung (KCSC),9,11/01/2020,3-2,"['0-3', '2-3', '3-1', '3-0', '3-2']",3,2,11,9
Skyers,HEAD SHATIN 6,HK Squash Centre (HKSC),9,11/01/2020,1-4,"['3-0', '2-3', '1-3', '0-3', 'WO']",1,4,6,12
Relay 2,Spark 4,Sir Denys Roberts (SDRSC),9,11/01/2020,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Spark 4,Smart Squash 4,HK Squash Centre (HKSC),10,18/01/2020,4-1,"['0-3', '3-0', '3-0', 'CR', 'CR']",4,1,12,3
HDSC,Relay 2,Kwun Chung (KCSC),10,18/01/2020,4-1,"['0-3', '3-0', '3-2', 'CR', 'CR']",4,1,12,5
Yuen Long JR 3,i-Mask Advance Squash Club 12,Sir Denys Roberts (SDRSC),10,18/01/2020,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Hong Kong Football Club 18,TNG 3,Hong Kong Football Club (HKFC),10,18/01/2020,4-1,"['3-0', '3-0', '3-0', '3-0', '0-3']",4,1,12,3
United Services Recreation Club 4,Skyers,United Services Recreation Club (USRC),10,18/01/2020,3-2,"['0-3', '3-0', '1-3', '3-0', 'CR']",3,2,10,6
