Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,22,21,1,108,89,20,0,13,0,0
Royal Hong Kong Yacht Club Div 13,22,17,5,94,77,33,0,15,0,0
TNG 2,22,19,3,93,77,33,5,6,1,1
Greenfield,22,13,9,78,65,45,0,11,0,0
Arctic Circle,22,12,10,73,61,49,5,4,0,3
North District Sports Association 2,22,12,10,69,57,53,0,6,0,0
Squashathon PLZ,22,10,12,68,59,51,0,11,1,0
Bravo D13,22,6,16,43,38,71,12,7,1,0
Star River 3,22,5,17,40,35,75,5,3,0,1
M&M Squash,22,6,16,39,35,72,7,1,1,0
Vitality Squash 3,22,7,15,36,31,78,28,2,2,1
Physical Chess 4,22,4,18,35,32,76,21,4,0,0
