Home Team,Away Team,Venue,Match Week,Date
Titlows Squash Team,Old Squash Fellows,Masters - HK Squash Centre,8,2024-11-21
Hong Kong Football Club M3B,Hong Kong Football Club M3A,Hong Kong Football Club,8,2024-11-21
Hong Kong Football Club M3A,Hong Kong Football Club M3B,Hong Kong Football Club,15,2025-02-13
