Home Team,Away Team,Venue,Match Week,Date
Hong Kong Football Club JSA,JESSICA Mochis,Hong Kong Football Club,8,2025-11-21
Hong Kong Cricket Club L4,The Squash Club L4,Hong Kong Cricket Club,8,2025-11-21
JESSICA L4,Kwai Tsing District Squash Club L4,HK Squash Centre,8,2025-11-21
The Squash Club L4,JESSICA L4,Cornwall Street Squash Centre,9,2025-11-28
Hong Kong Cricket Club L4,JESSICA Mochis,Hong Kong Cricket Club,9,2025-11-28
Hong Kong Cricket Club Rockettes,Hong Kong Football Club JSA,Hong Kong Cricket Club,9,2025-11-28
Hong Kong Football Club L4,Squashathon Ladies,HK Squash Centre,9,2025-11-28
Kwai Tsing District Squash Club L4,The Squash Club L4,Yeung Uk Road Sports Centre,10,2025-12-12
Hong Kong Football Club L4,Hong Kong Football Club JSA,Hong Kong Football Club,10,2025-12-12
Hong Kong Cricket Club Rockettes,Hong Kong Cricket Club L4,Hong Kong Cricket Club,10,2025-12-12
JESSICA Mochis,JESSICA L4,HK Squash Centre,10,2025-12-12
Kwai Tsing District Squash Club L4,JESSICA Mochis,Yeung Uk Road Sports Centre,11,2025-12-19
JESSICA L4,Hong Kong Cricket Club Rockettes,Cornwall Street Squash Centre,11,2025-12-19
Hong Kong Cricket Club L4,Hong Kong Football Club L4,Hong Kong Cricket Club,11,2025-12-19
Hong Kong Football Club JSA,Squashathon Ladies,Hong Kong Football Club,11,2025-12-19
Squashathon Ladies,Hong Kong Cricket Club L4,Cornwall Street Squash Centre,12,2026-01-09
Hong Kong Football Club L4,JESSICA L4,Hong Kong Football Club,12,2026-01-09
Hong Kong Cricket Club Rockettes,Kwai Tsing District Squash Club L4,Hong Kong Cricket Club,12,2026-01-09
JESSICA Mochis,The Squash Club L4,HK Squash Centre,12,2026-01-09
The Squash Club L4,Hong Kong Cricket Club Rockettes,Cornwall Street Squash Centre,13,2026-01-16
Kwai Tsing District Squash Club L4,Hong Kong Football Club L4,Yeung Uk Road Sports Centre,13,2026-01-16
JESSICA L4,Squashathon Ladies,HK Squash Centre,13,2026-01-16
Hong Kong Cricket Club L4,Hong Kong Football Club JSA,Hong Kong Cricket Club,13,2026-01-16
Hong Kong Football Club JSA,JESSICA L4,Hong Kong Football Club,14,2026-01-23
Kwai Tsing District Squash Club L4,Squashathon Ladies,Yeung Uk Road Sports Centre,14,2026-01-23
Hong Kong Football Club L4,The Squash Club L4,Hong Kong Football Club,14,2026-01-23
Hong Kong Cricket Club Rockettes,JESSICA Mochis,Hong Kong Cricket Club,14,2026-01-23
JESSICA Mochis,Hong Kong Football Club L4,HK Squash Centre,15,2026-01-30
The Squash Club L4,Squashathon Ladies,Cornwall Street Squash Centre,15,2026-01-30
Kwai Tsing District Squash Club L4,Hong Kong Football Club JSA,Yeung Uk Road Sports Centre,15,2026-01-30
JESSICA L4,Hong Kong Cricket Club L4,HK Squash Centre,15,2026-01-30
Kwai Tsing District Squash Club L4,Hong Kong Cricket Club L4,Yeung Uk Road Sports Centre,16,2026-02-06
Hong Kong Football Club JSA,The Squash Club L4,Hong Kong Football Club,16,2026-02-06
Squashathon Ladies,JESSICA Mochis,Cornwall Street Squash Centre,16,2026-02-06
Hong Kong Football Club L4,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,16,2026-02-06
Hong Kong Cricket Club Rockettes,Squashathon Ladies,Hong Kong Cricket Club,17,2026-02-13
JESSICA Mochis,Hong Kong Football Club JSA,HK Squash Centre,17,2026-02-13
The Squash Club L4,Hong Kong Cricket Club L4,Pei Ho Street Sports Centre,17,2026-02-13
Kwai Tsing District Squash Club L4,JESSICA L4,Yeung Uk Road Sports Centre,17,2026-02-13
JESSICA L4,The Squash Club L4,HK Squash Centre,18,2026-03-06
Hong Kong Cricket Club L4,JESSICA Mochis,HK Squash Centre,18,2026-03-06
Hong Kong Football Club JSA,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,18,2026-03-06
Squashathon Ladies,Hong Kong Football Club L4,Cornwall Street Squash Centre,18,2026-03-06
