Team,Played,Won,Lost,Points
Hong Kong Football Club L2B,15,14,1,65
Kowloon Cricket Club L2B,15,13,2,59
Hong Kong Football Club L2A,15,7,8,39
Hong Kong Cricket Club L2,15,5,10,33
Kowloon Cricket Club L2A,15,6,9,30
JESSICA L2 [withdrawal],15,0,15,0
