Team,Played,Won,Lost,Points
Hong Kong Football Club M1A,12,10,2,35
Hong Kong Football Club M1B,12,9,3,35
Hong Kong Cricket Club M1A,12,5,7,24
Hong Kong Cricket Club M1B,12,4,8,17
Squashathon M+,12,2,10,9
