Team,Played,Won,Lost,Points
i-Mask Advance Squash Club 7,14,9,5,52
i-Mask Advance Squash Club 6,13,9,4,46
Smart Squash 2,13,8,5,45
HKIS Div 13,13,6,7,37
Bravo D13,13,5,8,37
Vitality Squash 2,13,5,8,35
JSA 1,12,6,6,33
NEXUS 3,13,6,7,31
Smart Squash 3,12,4,8,28
