Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club 1A,9,8,1,27,20,7
Hong Kong Football Club 1A,9,6,3,22,16,11
Hong Kong Cricket Club 1,8,6,2,20,14,10
FWD,9,3,6,16,13,14
Hong Kong Football Club 1B,8,2,6,10,8,16
Kowloon Cricket Club 1B,7,0,7,4,4,17
