Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Royal Hong Kong Yacht Club M3,9,7,2,41,34,11
United Services Recreation Club M3,8,7,1,39,32,8
Hong Kong Football Club M3A,8,7,1,37,30,10
Hong Kong Football Club M3B,8,4,4,25,21,19
Old Squash Fellows,8,4,4,24,20,20
Kowloon Cricket Club M3,9,2,7,16,14,31
Titlows Squash Team,9,1,8,12,11,34
Hong Kong Cricket Club M3,9,2,7,10,8,37
