Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
X-Alpha 3,8,6,2,34,29,11
UST,8,5,3,27,22,18
Hong Kong Football Club 7A,8,5,3,26,21,19
Vitality Squash 1,8,4,4,19,15,25
Hong Kong Cricket Club 5,7,3,4,19,16,19
The Best Group 1,8,2,6,18,16,24
Kinetic 1,7,2,5,18,16,19
