Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Striving Squash,v,Squashathon Zero,Kwun Chung Sports Centre,19:00,"3-2(3-0,3-0,1-3,3-2,1-3)",1,04/10/2024
i-Mask Advance Squash Club 2,v,Ladies Recreation Club Div 8,Cornwall Street Squash Centre,19:00,"0-5(0-3,0-3,1-3,0-3,0-3)",1,04/10/2024
TOMCAT,v,Physical Chess 3,Cornwall Street Squash Centre,19:00,"2-3(0-3,3-0,3-1,1-3,1-3)",1,04/10/2024
Kinetic 2,v,Hong Kong Football Club 8,Yuen Long Jockey Club Squash Courts,19:00,"0-5(0-3,1-3,2-3,1-3,0-3)",1,04/10/2024
Sha Tin 3,v,[BYE],,,,1,04/10/2024
Sha Tin 3,v,Kinetic 2,Cornwall Street Squash Centre,19:00,"5-0(3-0,3-0,3-0,3-1,3-0)",2,18/10/2024
Hong Kong Football Club 8,v,TOMCAT,Hong Kong Football Club,19:00,"3-2(1-3,1-3,3-0,3-0,CR)",2,18/10/2024
Physical Chess 3,v,i-Mask Advance Squash Club 2,Cornwall Street Squash Centre,19:00,"3-2(3-0,1-3,1-3,3-0,3-0)",2,18/10/2024
Ladies Recreation Club Div 8,v,Striving Squash,Ladies Recreation Club,19:00,"3-2(1-3,3-0,3-1,0-3,3-1)",2,18/10/2024
Squashathon Zero,v,[BYE],,,,2,18/10/2024
Squashathon Zero,v,Ladies Recreation Club Div 8,Cornwall Street Squash Centre,19:00,"2-3(1-3,0-3,2-3,3-2,CR)",3,25/10/2024
Striving Squash,v,Physical Chess 3,Kwun Chung Sports Centre,19:00,"1-4(3-0,0-3,1-3,0-3,0-3)",3,25/10/2024
i-Mask Advance Squash Club 2,v,Hong Kong Football Club 8,Cornwall Street Squash Centre,19:00,"2-3(3-0,1-3,3-0,0-3,0-3)",3,25/10/2024
TOMCAT,v,Sha Tin 3,Cornwall Street Squash Centre,19:00,"0-5(2-3,1-3,1-3,0-3,CR)",3,25/10/2024
Kinetic 2,v,[BYE],,,,3,25/10/2024
Kinetic 2,v,TOMCAT,Yuen Long Jockey Club Squash Courts,19:00,"3-2(0-3,1-3,3-1,3-0,CR)",4,01/11/2024
Sha Tin 3,v,i-Mask Advance Squash Club 2,HK Squash Centre,19:00,"5-0(3-0,3-0,3-1,3-1,3-0)",4,01/11/2024
Hong Kong Football Club 8,v,Striving Squash,Hong Kong Football Club,19:00,"5-0(3-2,3-0,3-0,3-0,3-1)",4,01/11/2024
Physical Chess 3,v,Squashathon Zero,Cornwall Street Squash Centre,19:00,"2-3(0-3,3-1,0-3,1-3,3-1)",4,01/11/2024
Ladies Recreation Club Div 8,v,[BYE],,,,4,01/11/2024
Ladies Recreation Club Div 8,v,Physical Chess 3,Ladies Recreation Club,19:00,"3-2(3-2,3-2,3-1,1-3,2-3)",5,08/11/2024
Hong Kong Football Club 8,v,Squashathon Zero,Hong Kong Football Club,19:00,"3-2(3-0,2-3,3-1,3-1,0-3)",5,08/11/2024
Sha Tin 3,v,Striving Squash,Cornwall Street Squash Centre,19:00,"3-2(1-3,2-3,3-0,3-0,3-0)",5,08/11/2024
i-Mask Advance Squash Club 2,v,Kinetic 2,Cornwall Street Squash Centre,19:00,"4-1(3-0,3-0,3-1,3-0,0-3)",5,08/11/2024
TOMCAT,v,[BYE],,,,5,08/11/2024
TOMCAT,v,i-Mask Advance Squash Club 2,HK Squash Centre,19:00,"3-2(1-3,3-1,2-3,3-2,3-0)",6,15/11/2024
Striving Squash,v,Kinetic 2,Kwun Chung Sports Centre,19:00,"4-1(3-1,3-0,1-3,3-1,3-0)",6,15/11/2024
Sha Tin 3,v,Squashathon Zero,Cornwall Street Squash Centre,19:00,"5-0(3-2,3-0,3-0,3-0,3-1)",6,15/11/2024
Hong Kong Football Club 8,v,Ladies Recreation Club Div 8,Hong Kong Football Club,19:00,"0-5(0-3,1-3,0-3,0-3,0-3)",6,15/11/2024
Physical Chess 3,v,[BYE],,,,6,15/11/2024
Physical Chess 3,v,Hong Kong Football Club 8,Cornwall Street Squash Centre,19:00,"2-3(1-3,0-3,3-1,2-3,CR)",7,22/11/2024
Ladies Recreation Club Div 8,v,Sha Tin 3,Ladies Recreation Club,19:00,"1-4(0-3,3-0,2-3,0-3,1-3)",7,22/11/2024
Squashathon Zero,v,Kinetic 2,Cornwall Street Squash Centre,19:00,"5-0(3-0,3-0,3-0,3-0,3-0)",7,22/11/2024
TOMCAT,v,Striving Squash,Cornwall Street Squash Centre,19:00,"3-2(0-3,3-0,3-0,2-3,3-0)",7,22/11/2024
i-Mask Advance Squash Club 2,v,[BYE],,,,7,22/11/2024
Striving Squash,v,i-Mask Advance Squash Club 2,Kwun Chung Sports Centre,19:00,"3-2(3-0,2-3,3-1,3-1,CR)",8,29/11/2024
TOMCAT,v,Squashathon Zero,Cornwall Street Squash Centre,19:00,"0-5(1-3,0-3,0-3,0-3,0-3)",8,29/11/2024
Kinetic 2,v,Ladies Recreation Club Div 8,Yuen Long Jockey Club Squash Courts,19:00,"2-3(1-3,0-3,2-3,3-0,CR)",8,29/11/2024
Sha Tin 3,v,Physical Chess 3,Cornwall Street Squash Centre,19:00,"5-0(3-0,3-1,3-0,3-1,3-0)",8,29/11/2024
Hong Kong Football Club 8,v,[BYE],,,,8,29/11/2024
Squashathon Zero,v,Striving Squash,Cornwall Street Squash Centre,19:00,"2-3(1-3,0-3,2-3,3-0,3-0)",9,03/01/2025
Ladies Recreation Club Div 8,v,i-Mask Advance Squash Club 2,Ladies Recreation Club,19:00,,9,03/01/2025
Physical Chess 3,v,TOMCAT,Cornwall Street Squash Centre,19:00,"5-0(3-0,3-1,3-0,3-1,3-2)",9,03/01/2025
Hong Kong Football Club 8,v,Kinetic 2,Hong Kong Football Club,19:00,"5-0(3-1,3-0,3-0,3-0,3-1)",9,03/01/2025
Sha Tin 3,v,[BYE],,,,9,03/01/2025
