Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,19,19,0,101,82,13,2,8,0,5
Sha Tin 6,19,14,5,75,61,34,4,9,0,1
Fusion Squash Club 2,19,13,6,64,51,44,16,0,0,0
X-Alpha 5,19,10,9,57,52,42,0,19,5,0
SocGen Squash,19,8,11,57,49,46,9,4,0,0
Energy Squash Club 1,19,7,12,51,45,50,8,15,1,0
Yuen Long District Sports Association Limited,19,7,12,48,41,54,3,27,0,0
Happy Squash 4,19,8,11,47,39,56,0,12,0,3
Energy Squash Club 2,19,9,10,46,45,50,20,8,2,0
Kinetic 4,19,7,12,46,41,54,3,14,0,0
i-Mask Advance Squash Club 5,19,7,12,42,35,60,32,11,0,0
HKIS Div 13,19,5,14,32,28,66,38,8,1,0
