Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Bravo D13,1,1,0,5,4,1,0,0,0,0
Greenfield,1,1,0,4,3,2,0,0,0,0
M&M Squash,1,1,0,4,3,2,0,0,0,0
North District Sports Association 2,1,1,0,4,3,2,0,0,0,0
Squashathon PLZ,1,1,0,4,3,2,0,0,0,0
TNG 2,1,1,0,4,3,2,0,0,0,0
Arctic Circle,1,0,1,2,2,3,0,0,0,0
Physical Chess 4,1,0,1,2,2,3,0,0,0,0
Royal Hong Kong Yacht Club Div 13,1,0,1,2,2,3,0,0,0,0
TNG 1,1,0,1,2,2,3,0,0,0,0
Vitality Squash 3,1,0,1,2,2,3,0,0,0,0
Star River 3,1,0,1,1,1,4,0,0,0,0
