Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 5A,7,7,0,33,26,9,0,0,0,0
Physical Chess 1,7,6,1,28,22,13,0,3,0,0
X-Alpha 2,7,5,2,26,21,14,0,0,0,0
Uncle,7,4,3,24,20,15,0,0,0,1
Hong Kong Racketlon Association 1,7,4,3,23,19,16,0,0,0,0
Happy Squash 2,7,3,4,20,17,18,1,0,0,0
Squashathon,7,3,4,18,16,19,0,2,1,0
Hong Kong Football Club 5B,7,2,5,16,14,21,3,0,0,0
The Squash Club 1,7,1,6,14,13,22,0,1,0,0
i-Mask Advance Squash Club 1,7,0,7,7,7,28,2,0,0,0
