Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club M1B,6,4,2,18,14,4,0,0,0,0
Hong Kong Football Club M1A,6,5,1,16,11,7,1,0,0,0
Hong Kong Cricket Club M1B,5,3,2,11,8,7,0,0,0,0
Hong Kong Cricket Club M1A,6,1,5,6,5,13,0,1,0,0
Ladies Recreation Club M1,5,1,4,5,4,11,0,0,0,0
