Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,6,6,0,27,21,9,0,0,0,0
BOSS,6,5,1,26,21,9,0,0,0,0
Kinetic 3,6,6,0,24,18,12,0,0,0,0
Global Squash 2,7,4,3,23,19,16,0,0,0,0
Tuen Mun Squash Club,7,4,3,22,18,17,0,0,0,0
Star River 1,7,3,4,20,17,18,0,0,0,0
The Squash Club 3,6,3,3,20,17,13,0,0,0,0
7NT,6,1,5,14,13,17,0,0,0,0
i-Mask Advance Squash Club 4,6,1,5,13,12,18,0,0,0,0
HKCC Tuesday Night Rockers,6,1,5,12,11,19,0,0,0,0
Invader Squash,7,1,6,9,8,27,0,0,0,0
