Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club M2B,7,5,2,24,19,9,0,2,0,0
Hong Kong Football Club M2A,7,6,1,23,17,11,0,0,0,0
Hong Kong Cricket Club M2B,7,3,4,18,15,13,0,1,0,0
Hong Kong Cricket Club M2A,7,4,3,17,13,15,0,0,0,0
Ladies Recreation Club M2B,7,2,5,11,10,18,2,0,1,0
Ladies Recreation Club M2A,7,1,6,11,10,18,1,0,0,1
