Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10
Hong Kong Football Club 5A,18,13.707414829659319,4.292585170340681,70.21643286573146,98.19639278557113,72.34468937875751,16.83366733466934,5.811623246492986,3.2064128256513023,1.402805611222445,0.4008016032064128,0.0,0.0,0.0,0.0
Physical Chess 1,18,12.09619238476954,5.903807615230461,64.01603206412825,88.97795591182366,15.430861723446892,41.08216432865731,16.83366733466934,15.631262525050099,7.014028056112225,3.2064128256513023,0.2004008016032064,0.4008016032064128,0.2004008016032064,0.0
Hong Kong Racketlon Association 1,18,10.541082164328657,7.458917835671342,60.09418837675351,68.33667334669339,5.410821643286573,14.829659318637276,24.448897795591183,23.647294589178355,16.83366733466934,9.619238476953909,3.6072144288577155,1.402805611222445,0.2004008016032064,0.0
X-Alpha 2,18,10.326653306613228,7.673346693386773,59.258517034068134,57.91583166332666,3.406813627254509,15.230460921843688,20.440881763527056,18.837675350701403,20.04008016032064,13.026052104208416,6.012024048096192,1.8036072144288577,1.2024048096192386,0.0
Uncle,18,9.959919839679358,8.040080160320642,57.657314629258515,48.897795591182366,2.2044088176352705,7.414829659318638,20.64128256513026,18.637274549098194,21.8436873747495,16.63326653306613,8.016032064128256,3.406813627254509,1.2024048096192386,0.0
Happy Squash 2,18,9.162324649298597,8.837675350701403,54.587174348697395,27.054108216432866,1.2024048096192386,3.807615230460922,8.817635270541082,13.226452905811623,19.839679358717436,24.248496993987974,18.837675350701403,7.214428857715431,2.80561122244489,0.0
Squashathon,18,7.733466933867735,10.266533066132265,49.19438877755511,7.414829659318637,0.0,0.6012024048096193,2.80561122244489,4.008016032064128,5.811623246492986,14.428857715430862,27.655310621242485,28.0561122244489,15.831663326653306,0.8016032064128256
Hong Kong Football Club 5B,18,7.006012024048096,10.993987975951903,48.098196392785574,2.6052104208416837,0.0,0.2004008016032064,0.0,2.404809619238477,6.4128256513026045,14.228456913827655,23.446893787575153,30.460921843687377,20.240480961923847,2.6052104208416833
The Squash Club 1,18,5.871743486973948,12.128256513026052,43.72945891783567,0.6012024048096192,0.0,0.0,0.2004008016032064,0.4008016032064128,0.8016032064128256,4.008016032064128,12.224448897795591,26.252505010020037,49.498997995991985,6.613226452905812
i-Mask Advance Squash Club 1,18,3.595190380761523,14.404809619238478,32.14829659318637,0.0,0.0,0.0,0.0,0.0,0.0,0.2004008016032064,0.0,1.002004008016032,8.817635270541082,89.97995991983969
