Team,Most Games,Most Wins,Highest Win Percentage
BOSS,"Li Kelvin Hon Hun, Fong Wai Kuen (14)",Luk Raymond Yiu Fai (6),Luk Raymond Yiu Fai (60.0%)
Centre Squash,Bedouillat Vincent (16),Chevaux Alexander (13),Chevaux Alexander (92.9%)
HKPF Squash Team,Ko Toby Ho Yin (15),Ko Toby Ho Yin (11),Ko Toby Ho Yin (73.3%)
Hong Kong Football Club 9,Lee Lawrence Chi Hung (15),Kirpalani Shaun (11),Kirpalani Shaun (84.6%)
Kinetic 3,Hui Prodipto (11),Tse Wai Hong (6),Tse Wai Hong (66.7%)
Kowloon Cricket Club 9,Osmund Ronnie (15),Osmund Ronnie (10),Osmund Ronnie (66.7%)
The Hong Kong Jockey Club Div 9,Lee Dennis Yuk Kai (16),Woo Heng Che Stephen (7),Wong Aaron Wan Chong (80.0%)
The Squash Club 2,Poon Ho Kar James (15),Poon Ho Kar James (14),"Yan Ka Ho, Kan Ken Chun Kit, Lee Bruce Lap Tak (100.0%)"
Twister,"Tsui Terence Hing Tai, Lee Rachel Wing Yan (15)",Lee Rachel Wing Yan (13),Lau Eric Chi Wai (100.0%)
i-Mask Advance Squash Club 3,"Au Wai Lun, Mo Li Hung Calvin, Au Heung Ben (18)",Au Wai Lun (14),Au Wai Lun (77.8%)
