Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,21,20,1,102,84,20,0,13,0,0
TNG 2,21,18,3,88,73,32,5,6,1,0
Royal Hong Kong Yacht Club Div 13,21,16,5,88,72,33,0,10,0,0
Greenfield,21,13,8,78,65,40,0,11,0,0
Squashathon PLZ,21,10,11,68,58,47,0,11,0,0
North District Sports Association 2,21,12,9,67,55,50,0,6,0,0
Arctic Circle,21,11,10,67,56,49,5,4,0,2
Bravo D13,21,6,15,44,38,66,12,7,0,0
M&M Squash,21,6,15,37,33,69,7,1,1,0
Vitality Squash 3,21,7,14,36,31,73,23,2,2,1
Star River 3,21,4,17,36,32,73,5,3,0,1
Physical Chess 4,21,3,18,31,29,74,21,4,0,0
