Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,21,20,1,107,87,18,7,8,0,5
Sha Tin 6,21,15,6,83,68,37,4,9,0,1
Fusion Squash Club 2,21,15,6,74,59,46,16,0,0,0
X-Alpha 5,21,12,9,69,62,42,0,21,5,5
SocGen Squash,21,10,11,66,56,49,9,7,0,0
Energy Squash Club 1,21,9,12,62,54,51,8,20,1,0
Happy Squash 4,21,9,12,53,44,61,0,14,0,3
Yuen Long District Sports Association Limited,21,7,14,50,43,62,3,27,0,0
Kinetic 4,21,7,14,47,43,62,3,14,0,0
Energy Squash Club 2,21,10,11,45,48,57,20,11,7,0
i-Mask Advance Squash Club 5,21,7,14,42,35,70,39,11,0,0
HKIS Div 13,21,5,16,34,30,74,41,8,1,0
