Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club L1B,8,6,2,22,16,8
Kowloon Cricket Club L1A,8,5,3,20,15,9
JESSICA L1,8,5,3,20,15,9
Hong Kong Football Club L1,8,4,4,14,10,14
Hong Kong Cricket Club L1,8,0,8,4,4,20
