Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club 2,8,8,0,37,29,3
Hong Kong Football Club 2A,8,6,2,25,19,13
Hong Kong Football Club 2B,9,5,4,23,18,18
Hong Kong Cricket Club 2,7,1,6,10,9,19
Young Player 2,8,0,8,5,5,27
