Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M1B,8,6,2,25,19,5
Hong Kong Cricket Club M1B,8,5,3,19,14,10
Hong Kong Football Club M1A,8,5,3,18,13,11
Hong Kong Cricket Club M1A,9,3,6,12,9,18
Ladies Recreation Club M1,7,1,6,6,5,16
