Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M2B,10,8,2,37,29,11
Hong Kong Football Club M2A,10,8,2,32,24,16
Hong Kong Cricket Club M2A,10,6,4,26,20,20
Hong Kong Cricket Club M2B,10,4,6,22,18,22
Ladies Recreation Club M2A,10,2,8,19,17,23
Ladies Recreation Club M2B,10,2,8,13,12,28
