Team,Played,Won,Lost,Points
Kowloon Cricket Club M3,17,16,1,85
Hong Kong Football Club M3A,17,12,5,77
Hong Kong Cricket Club M3,17,10,7,61
Hong Kong Football Club M3B,17,11,6,59
Royal Hong Kong Yacht Club M3,17,7,10,43
OSF,18,2,16,18
Titlows Squash Master,17,2,15,17
