Team,Played,Won,Lost,Points
Hong Kong Football Club M1B,16,13,3,49
Hong Kong Football Club M1A,16,13,3,46
Hong Kong Cricket Club M1A,16,6,10,30
Hong Kong Cricket Club M1B,16,6,10,25
Squashathon M+,16,2,14,10
