Team,Most Games,Most Wins,Highest Win Percentage
8 Virtues + 1,Tin Charlotte Pui Lam (15),Tin Charlotte Pui Lam (14),Zheng Fiona Zixuan (100.0%)
Fusion Squash Club 4,Liu Riley (14),"Mei Tianle Arthur, Liu Riley, Li Asher, Kwok Anders Ka Chun (2)",Kwok Anders Ka Chun (40.0%)
Hong Kong Football Club 14,Wan Damien Tin Chun (15),Wan Damien Tin Chun (9),Soo Ting He Nico (100.0%)
Ladies Recreation Club Div 14,Chen Peak Julian (16),Chen Peak Julian (6),Chuard Louis Kun Kai (42.9%)
North District Sports Association 2,Fung Yau On (18),Fung Yau On (14),Lee Yui Hin (100.0%)
Physical Chess 5,"Chan Chun Ho, Fung Tin Lok (13)","Chan Chun Ho, Tin Nok Lam (10)","Wong Ho Kai, Tin Nok Lam (83.3%)"
RELAY 2,Cheng Nic (14),Chung Yui On Jake (9),Cheung Cheuk Wai (72.7%)
Royal Hong Kong Yacht Club Div 14,"Oei Chuen Shek Joseph, Lai Ming Wah (14)",Oei Chuen Shek Joseph (12),Chaudhry Ali (100.0%)
Squash-On,Lau Hayden (16),Huang Xin Min (6),Huang Xin Min (60.0%)
TKO Junior 1,Lee Man Yu (17),Jong Kwok Wai (13),Jong Kwok Wai (92.9%)
TNG 3,"Kwan Yui Tang, Kwan King Lok (13)",Kwan Yui Tang (10),Kwan Yui Tang (76.9%)
The Squash Club 4,Chung Tsam Yee (19),Chung Tsam Yee (19),"Chung Tsam Yee, Hui Chi Hin (100.0%)"
