Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
Ladies Recreation Club Div 18,-4.54545454545454,4.444444444444443,0.0,40.0,4.444444444444443,8.868686868686872
Electrify Squash Div 18,21.42857142857143,-37.5,0.0,14.285714285714292,16.666666666666657,2.9761904761904816
Hong Kong Football Club 18,2.0202020202020208,-7.0707070707070585,-12.5,2.857142857142861,27.777777777777786,2.616883116883116
Sha Tin Squash Rackets Club 7,0.0,0.0,0.0,-8.333333333333343,15.0,1.3333333333333286
Sky Fighter,-17.5,17.5,-14.285714285714292,-16.666666666666657,33.33333333333333,0.4761904761904816
Kowloon Cricket Club 18,-45.0,-2.857142857142861,5.555555555555557,37.5,0.0,-0.9603174603174551
Hong Kong Cricket Club 8,11.111111111111114,-43.05555555555556,-8.92857142857143,16.666666666666664,13.333333333333329,-2.1746031746031704
Fusion Squash Club 3,0.0,3.3333333333333357,-20.0,-8.333333333333329,0.0,-5.0
Elite Team,0.0,16.666666666666664,-16.666666666666664,-14.285714285714285,-16.666666666666664,-6.190476190476189
Physical Chess 5,23.80952380952381,-23.214285714285715,-14.285714285714292,0.0,-35.0,-9.738095238095248
North District Sports Association 3,-17.777777777777786,-7.777777777777786,-29.16666666666667,-14.285714285714285,5.0,-12.801587301587311
Vitality Squash 3,-16.66666666666667,3.3333333333333357,-33.33333333333333,-25.0,0.0,-14.33333333333333
