Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Head Shatin 4,22,22,0,116,0,0,0,0,94,16
Perrier Sergio Tacchini KCC 7,22,19,3,104,0,0,0,1,85,24
Hong Kong Cricket Club 6,22,13,9,78,0,0,0,0,65,45
HKU 2,22,15,7,76,0,0,0,2,65,45
i-MASK Advance Squash Club 7,22,13,9,67,0,0,0,6,56,54
Studio Pro,22,11,11,60,0,1,0,0,50,60
Hong Kong Football Club 11,22,10,12,59,3,0,1,0,50,60
Flash,22,8,14,54,0,1,0,5,47,63
Banbil,22,8,14,48,0,0,0,1,40,70
Kinetic 3,22,7,15,48,0,1,0,0,42,68
Star River 2,22,3,19,39,0,0,0,2,36,74
Los Galacticos,22,3,19,6,0,0,16,0,29,80
