Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Head Shatin 3,18,16,2,85,0,1,0,0,69,21
The Hong Kong Jockey Club,18,15,3,79,0,0,0,1,64,26
The Zero Squash Club 2,18,13,5,73,0,0,0,1,60,30
Hong Kong Football Club 10B,18,10,8,58,0,0,1,1,49,41
Xavier,18,11,7,54,0,0,0,0,43,47
Hong Kong Football Club 10A,18,7,11,45,0,0,0,0,38,52
Royal Hong Kong Yacht Club 10,18,6,12,38,0,0,0,0,32,58
Friend Club 5,18,6,12,36,0,0,5,0,35,55
Tuen Mun Squash Club 1,18,5,13,35,0,0,0,1,39,51
ISRC United 2,18,1,17,22,1,0,0,2,21,69
