Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
The Squash Club 2,18,18,0,102,0,6,0,1,84,6
Star River 4,18,13,5,64,0,0,0,1,51,39
Hong Kong Football Club 13,18,11,7,63,0,0,1,4,54,36
The Squash Club 3,18,10,8,58,0,5,0,5,48,42
Pheonix,18,9,9,58,0,0,0,0,49,41
KTSC,18,8,10,54,0,0,1,0,47,43
Honey Badgers 2,18,10,8,47,0,0,2,1,43,47
VISIONS,18,5,13,36,0,0,0,0,32,58
i-MASK Advance Squash Club 10,17,3,14,19,11,0,2,1,18,67
Vitality Squash 1,17,2,15,14,0,0,7,0,19,66
