Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Dragonfly,18,16,2,92,0,6,0,11,76,14
Kinetic 7,18,15,3,86,0,4,0,0,71,19
i-Mask Advance Squash Club 14,18,16,2,83,0,5,2,5,70,20
The Zero Squash Club 4,18,12,6,66,0,5,0,3,55,35
Fung King 4,17,8,8,44,0,0,0,3,39,46
Citra Squash Team,18,6,11,32,22,0,13,0,38,52
Dr. Squash 3,18,6,12,32,2,1,3,3,32,58
Vitality Squash 2,16,2,14,19,6,5,8,0,25,55
CPS,18,4,14,17,0,5,0,3,15,75
Friend Club 9,17,2,15,17,1,0,4,2,19,66
