Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
i-Mask Advance Squash Club 15,22,20,2,107,0,4,1,2,88,22
Hong Kong Cricket Club Junior 2,22,19,3,101,0,5,2,16,85,25
Kwai Tsing District Squash Club 4,22,15,7,86,0,3,0,4,71,39
Yuen Long Jr 3,22,11,11,70,4,14,0,1,59,51
Royal,22,13,9,68,0,7,0,1,56,54
Sprouts,22,12,10,68,0,2,2,1,59,51
SKYERS,22,12,10,60,0,0,5,5,58,52
JAMS,22,9,13,55,1,5,1,10,48,62
ALL ABOUT SQUASH,22,8,14,44,11,3,10,7,46,64
Spirit 5,22,6,16,25,7,0,9,8,42,68
Firebird,22,5,17,17,5,2,19,3,32,78
Vocano,22,2,20,9,18,1,9,0,16,94
