Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Tuen Mun Squash Club 2,20,18,2,105,0,5,0,5,87,13
Kwai Tsing District Squash Club 1,20,18,2,100,0,3,0,0,82,18
BRAVO,20,17,3,94,0,1,0,0,77,23
Kinetic 5,20,14,6,81,0,5,0,0,67,33
i-MASK Advance Squash Club 11,20,10,10,69,0,10,0,0,59,41
Police 2,19,7,12,39,6,1,5,0,37,58
Mark Six,20,6,14,37,9,5,0,8,31,69
ROVERS,19,5,14,36,0,0,0,5,31,64
Friend Club 8,17,6,11,32,16,3,0,0,27,58
DS,18,4,14,25,0,8,0,0,21,69
Craigengower Cricket Club,17,0,17,-7,10,0,13,0,6,79
