Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Perrier Sergio Tacchini KCC 3,18,16,2,88,0,0,0,0,72,18
That's 1,18,15,3,82,0,0,0,0,67,23
i-MASK Advance Squash Club 1,18,14,4,73,0,0,2,0,61,29
United Services Recreation Club 2,18,10,8,60,0,0,1,0,51,39
Hong Kong Football Club 4,18,10,8,53,0,0,1,0,44,46
Hong Kong Cricket Club 2,18,9,9,53,0,0,0,3,47,43
Giant 1,18,8,10,47,0,0,1,1,42,48
i-MASK Advance Squash Club 2,18,3,15,27,0,0,0,1,24,66
Head Shatin 1,18,5,13,23,0,0,0,0,35,55
Hong Kong Fire Services 1,18,0,18,5,0,0,0,0,7,83
