Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Yuen Long JR 2,18,16,2,83,0,7,0,0,69,21
i-Mask Advance Squash Club 13,18,13,5,72,0,1,0,0,59,31
Giant 4,18,13,5,71,0,5,0,3,58,32
Kwai Tsing District Squah Club 3,18,13,5,69,0,1,0,0,56,34
Spirit 4,18,8,10,56,10,5,1,0,50,40
Fung King 3,18,10,8,53,0,7,0,1,46,44
Head Shatin 6,18,8,10,47,0,0,0,0,39,51
Dr. Squash 2,18,6,12,37,0,0,0,2,31,59
Relay 2,18,2,16,29,2,6,0,0,27,63
CSD,18,1,17,10,20,0,5,0,15,75
