Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Hong Kong Football Club L3B,18,13,5,64,4,2,0,0,50,22
Polladies,18,13,5,60,0,3,1,0,48,24
Hong Kong Cricket Club Rockettes,18,14,4,57,1,2,0,1,43,29
Perrier Ladies,18,10,8,46,1,0,0,0,36,36
Les Femmes Du Squash,18,4,14,33,5,0,1,0,30,42
Hong Kong Football Club L3A,18,5,13,28,0,4,0,0,23,49
Hong Kong Football Club L3C,18,4,14,24,0,0,0,1,22,50
