Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
The Squash Club 1,18,14,4,81,2,3,0,2,68,22
Kinetic 2,18,15,3,80,0,3,0,4,66,23
United Services Recreation Club 3,18,15,3,74,0,1,0,2,61,29
Fung King 2,18,10,8,58,0,1,0,3,51,39
i-Mask Advance Squash Club 4,18,10,8,55,6,0,1,1,48,42
Yuen Long Jr 1,18,9,9,45,0,3,0,2,46,43
Tomcat,18,5,13,35,0,5,0,0,30,60
Neptune,18,5,13,34,0,3,0,0,30,60
Friend Club 3,18,4,14,24,11,0,7,0,27,63
That's 4,18,3,15,18,2,2,7,1,22,68
